feed_tonne_hr,feed_kg_hr,X_alginate_to_sugars,MESP_$/gal,feed_cake_water_wt,ferm_feed_water_wt,ethanol_kg_hr,beer_water_wt
625.0,625000.0,0.19444444444444445,4.321044360049867,0.6,0.788847319577965,6662.839143038936,0.963228113309575
625.0,625000.0,0.28888888888888886,4.158195648724805,0.6,0.7888473195779651,6925.449475630694,0.9625091617420544
625.0,625000.0,0.3833333333333333,4.00654207750175,0.6,0.7888473195779651,7188.05980742523,0.9617938437875191
625.0,625000.0,0.47777777777777775,3.865921031736266,0.6,0.7888473195779651,7450.670138428292,0.9610821324379815
625.0,625000.0,0.5722222222222222,3.7349071254270747,0.6,0.788847319577965,7713.280468645549,0.9603740009479309
625.0,625000.0,0.6666666666666666,3.612121229810049,0.6,0.7888473195779651,7975.890798082628,0.9596694228312115
625.0,625000.0,0.7611111111111111,3.4909243462854898,0.6,0.7888473195779651,8238.501126745097,0.9589683718579416
625.0,625000.0,0.8555555555555555,3.3836326444801315,0.6,0.788847319577965,8501.111454638467,0.9582708220514774
625.0,625000.0,0.95,3.28295124291974,0.6,0.7888473195779651,8763.721781768185,0.9575767476854175
800.0,800000.0,0.1,4.336820409996776,0.6000000000000001,0.7888538070049815,8192.292835505392,0.9639598787110017
800.0,800000.0,0.19444444444444445,4.166661919415361,0.6000000000000001,0.7888538070049815,8528.434062445183,0.9632372128422904
800.0,800000.0,0.28888888888888886,4.009625876178838,0.6000000000000001,0.7888538070049813,8864.575288356727,0.9625182081617135
800.0,800000.0,0.3833333333333333,3.8633824102360284,0.6000000000000001,0.7888538070049815,9200.71651324745,0.9618028373934827
800.0,800000.0,0.47777777777777775,3.7278603943505026,0.6000000000000001,0.7888538070049815,9536.857737124677,0.9610910735274737
800.0,800000.0,0.5722222222222222,3.60154954611779,0.6000000000000001,0.7888538070049815,9872.998959995693,0.9603828898160588
800.0,800000.0,0.6666666666666666,3.4831884205344705,0.6000000000000001,0.7888538070049813,10209.140181867688,0.9596782597709823
800.0,800000.0,0.7611111111111111,3.3727330222027825,0.6000000000000001,0.7888538070049815,10545.281402747785,0.9589771571602821
800.0,800000.0,0.8555555555555555,3.269099688252939,0.6000000000000001,0.7888538070049815,10881.42262264305,0.9582795560052503
800.0,800000.0,0.95,3.1718620647575104,0.6000000000000001,0.7888538070049815,11217.563841560468,0.9575854305774407
1000.0,1000000.0,0.1,4.221075739478748,0.6,0.7888584409467523,10240.366007907234,0.9639664180591299
1000.0,1000000.0,0.19444444444444445,4.055467167513909,0.6,0.7888584409467522,10660.542541755642,0.963243714032417
1000.0,1000000.0,0.28888888888888886,3.902608699555421,0.6,0.7888584409467523,11080.719074318391,0.9625246714092286
1000.0,1000000.0,0.3833333333333333,3.760333747300795,0.6,0.7888584409467523,11500.895605604748,0.9618092629122362
1000.0,1000000.0,0.47777777777777775,3.6284158508192528,0.6,0.7888584409467523,11921.072135623894,0.9610974615297907
1000.0,1000000.0,0.5722222222222222,3.5055679604762555,0.6,0.7888584409467523,12341.24866438493,0.9603892405127518
1000.0,1000000.0,0.6666666666666666,3.390269053265811,0.6,0.7888584409467522,12761.425191896833,0.9596845733713635
1000.0,1000000.0,0.7611111111111111,3.2786651409706327,0.6,0.7888584409467523,13181.601718168524,0.9589834338721772
1000.0,1000000.0,0.8555555555555555,3.1778870833565556,0.6,0.7888584409467523,13601.77824320883,0.958285796035011
1000.0,1000000.0,0.95,3.0833263003200053,0.6,0.7888584409467523,14021.954767026464,0.9575916341299583
1200.0,1200000.0,0.1,4.1400109706230745,0.5999999999999999,0.7888615302715121,12288.439180302987,0.9639707783322485
1200.0,1200000.0,0.19444444444444445,3.9779009603554156,0.5999999999999999,0.7888615302715121,12792.65102106001,0.9632480488646753
1200.0,1200000.0,0.28888888888888886,3.8279371484274307,0.5999999999999999,0.7888615302715122,13296.862860273959,0.9625289809442295
1200.0,1200000.0,0.3833333333333333,3.6883475862962847,0.5999999999999999,0.7888615302715122,13801.074697955963,0.9618135472925573
1200.0,1200000.0,0.47777777777777775,3.558977255545971,0.5999999999999999,0.7888615302715122,14305.28653411704,0.9611017208969916
1200.0,1200000.0,0.5722222222222222,3.438464460765429,0.5999999999999999,0.7888615302715121,14809.498368768085,0.9603934750073837
1200.0,1200000.0,0.6666666666666666,3.3254530907529807,0.5999999999999999,0.7888615302715121,15313.710201919905,0.9596887831329786
1200.0,1200000.0,0.7611111111111111,3.2199941440572166,0.5999999999999999,0.7888615302715121,15817.922033583194,0.9589876190393349
1200.0,1200000.0,0.8555555555555555,3.121042736520642,0.5999999999999999,0.7888615302715121,16322.133863768537,0.9582899567452904
1200.0,1200000.0,0.95,3.0281985089750836,0.5999999999999999,0.7888615302715121,16826.345692486408,0.9575957705199616
