case,stream,ID,phase,F_mass_kg_hr,water_wt_frac,TS_kg_hr,VS_kg_hr,Water_kg_hr,CH4_kg_hr,CO2_kg_hr,Glucan_kg_hr,Xylan_kg_hr,Alginate_kg_hr,Fucoidan_kg_hr,Mannitol_kg_hr,Protein_kg_hr,OtherSolids_kg_hr,Ash_kg_hr
low_performance,milling_losses,milling_losses,l,34833.75000000001,0.65,12191.8125,7981.979643749999,22641.937500000007,0.0,0.0,1172.7370091971152,72.14481601081731,1010.0274241514426,328.4891622620193,796.6629682896636,920.9976512019232,3407.691309447116,4209.832856250001
low_performance,raw_biogas,biogas,g,2666.705534197409,0.0,0.0,0.0,0.0,712.3916832046875,1954.3138509927219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_performance,digestate,digestate,l,181560.32370656254,0.7066759404293926,53256.0112065625,29400.291687812496,128304.31250000004,0.0,0.0,4310.600898670478,265.18094533705823,3712.533234718816,1207.4196234495846,2928.274694253899,3385.28866387734,12525.568056346157,23855.719518750004
low_performance,biomethane,biomethane,g,802.9834589222767,0.0,0.0,0.0,0.0,705.2677663726406,97.71569254963612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_performance,offgas,offgas,g,1863.7220752751327,0.0,0.0,0.0,0.0,7.123916832046923,1856.5981584430858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_performance,soil_amendment,soil_amendment,l,42604.80896525001,0.5,21302.404482625006,11760.116675125004,21302.404482625006,0.0,0.0,1724.2403594681914,106.0723781348233,1485.0132938875265,482.9678493798338,1171.3098777015596,1354.1154655509358,5010.227222538463,9542.287807500003
low_performance,liquid_digestate,liquid_digestate,l,138955.51474131254,0.7700443427277849,31953.606723937497,17640.175012687498,107001.90801737504,0.0,0.0,2586.360539202287,159.10856720223495,2227.519940831289,724.4517740697509,1756.9648165523392,2031.173198326404,7515.340833807694,14313.431711250001
high_performance,feed,sargassum_feed,l,625000.0000000001,0.8672999999999998,82937.50000000012,54299.18125000011,542062.5,0.0,0.0,7977.802783653846,490.78106129807696,6870.934858173079,2234.6201514423083,5419.475974759617,6265.29014423077,23181.573533653853,28638.318750000006
high_performance,pressed_cake,pressed_cake,l,232225.00000000012,0.6499999999999999,81278.75000000006,53213.19762500005,150946.25000000006,0.0,0.0,7818.246727980769,480.9654400721154,6733.5161610096175,2189.9277484134623,5311.086455264424,6139.984341346155,22717.942062980776,28065.552375000007
high_performance,pressate,pressate,l,392774.99999999994,0.9957768442492522,1658.75,1085.9836250000008,391116.24999999994,0.0,0.0,159.55605567307703,9.815621225961536,137.41869716346173,44.692403028846,108.38951949519287,125.30580288461533,463.6314706730773,572.7663749999992
high_performance,milled_biomass,milled_biomass,l,197391.25000000006,0.65,69086.93750000001,45231.21798125001,128304.31250000004,0.0,0.0,6645.509718783654,408.82062406129813,5723.488736858175,1861.438586151443,4514.423486974761,5218.986690144232,19310.25075353366,23855.719518750004
high_performance,milling_losses,milling_losses,l,34833.75000000001,0.65,12191.8125,7981.979643749999,22641.937500000007,0.0,0.0,1172.7370091971152,72.14481601081731,1010.0274241514426,328.4891622620193,796.6629682896636,920.9976512019232,3407.691309447116,4209.832856250001
high_performance,raw_biogas,biogas,g,7111.2147578597605,0.0,0.0,0.0,0.0,1899.7111552125007,5211.50360264726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_performance,digestate,digestate,l,170252.51921125004,0.7536118296188,41948.20671124999,18092.48719249999,128304.31250000004,0.0,0.0,2642.808884303923,162.581174819744,2276.1364474764164,740.2632215196857,1795.3112708818544,2075.504359400988,7679.366129783655,23855.719518750004
high_performance,biomethane,biomethane,g,2141.2892237927385,0.0,0.0,0.0,0.0,1880.7140436603756,260.575180132363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_performance,offgas,offgas,g,4969.9255340670215,0.0,0.0,0.0,0.0,18.99711155212505,4950.928422514897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_performance,soil_amendment,soil_amendment,l,33558.565369,0.5,16779.2826845,7236.994876999999,16779.2826845,0.0,0.0,1057.1235537215694,65.03246992789761,910.4545789905667,296.1052886078743,718.1245083527418,830.2017437603954,3071.7464519134624,9542.287807500003
high_performance,liquid_digestate,liquid_digestate,l,136693.95384225008,0.8158739043001427,25168.924026750014,10855.492315500012,111525.02981550006,0.0,0.0,1585.6853305823538,97.5487048918464,1365.6818684858497,444.1579329118114,1077.1867625291125,1245.3026156405926,4607.619677870192,14313.431711250001
