vs_destruction,ch4_kg_per_kg_vs,ch4_molfrac,Installed_CAPEX_USD,Power_kW,Heating_MJph,Biomethane_CH4_kgph,Biomethane_CH4_Nm3ph,Biomethane_CH4_MMBtuph,Annualized_CAPEX_USDyr,Annual_power_cost_USDyr,Annual_heat_cost_USDyr,Annual_fixed_OPEX_USDyr,Total_annual_cost_USDyr,Breakeven_USD_per_kg_CH4,Breakeven_USD_per_Nm3,Breakeven_USD_per_MMBtu
0.5,0.04,0.5,126117574.89102642,4038.459151798443,8685.215000000002,895.5781160287502,1251.308308980701,42.44220761877806,14813723.023923403,2558767.7185794935,412721.41680000006,3783527.2467307923,21568739.40603369,3.0408577809560797,2.176382641299966,64.16550493888795
0.5,0.046,0.5,126951756.51041515,4133.252517638071,8685.215000000002,1029.914833433063,1439.0045553278067,48.80853876159479,14911705.683928957,2618828.795175482,412721.41680000006,3808552.6953124544,21751808.591216896,2.666667562728623,1.9085696904297569,56.26967224124421
0.5,0.052000000000000005,0.5,127785938.12980388,4228.045883477699,8685.215000000002,1164.2515508373756,1626.7008016749119,55.174869904411494,15009688.343934512,2678889.87177147,412721.41680000006,3833578.1438941164,21934877.7764001,2.3788289333228883,1.7025597282219047,50.19595478151827
0.5,0.058,0.5,128620119.74919261,4322.839249317328,8685.215000000002,1298.588268241688,1814.3970480220169,61.5412010472282,15107671.003940066,2738950.9483674592,412721.41680000006,3858603.592475778,22117946.961583305,2.1505431237942023,1.5391725168156773,45.37886852035632
0.5,0.064,0.5,129454301.36858134,4417.6326151569565,8685.215000000002,1432.9249856460003,2002.0932943691216,67.9075321900449,15205653.66394562,2799012.0249634474,412721.41680000006,3883629.04105744,22301016.14676651,1.965060903552145,1.4064204075481175,41.46498593316223
0.5,0.07,0.5,130288482.98797008,4512.425980996585,8685.215000000002,1567.2617030503131,2189.7895407162273,74.27386333286162,15303636.323951177,2859073.1015594364,412721.41680000006,3908654.4896391025,22484085.33194972,1.8113756353515826,1.296425802726425,38.22205464662999
0.6,0.04,0.5,127193029.1522114,4161.819814646537,8685.215000000002,1074.6937392345003,1501.5699707768415,50.930649142533674,14940045.477902224,2636929.034560046,412721.41680000006,3815790.8745663418,21805486.803828612,2.561862910588412,1.8335595972008256,54.05817669987536
0.6,0.046,0.5,128194047.09547788,4275.571853654092,8685.215000000002,1235.8978001196754,1726.8054663933676,58.57024651391373,15057624.669908892,2709002.3264752324,412721.41680000006,3845821.4128643363,22025169.82604846,2.250150284148044,1.6104626955609405,47.480691163841975
0.6,0.052000000000000005,0.5,129195065.03874435,4389.323892661645,8685.215000000002,1397.1018610048502,1952.0409620098935,66.20984388529376,15175203.861915557,2781075.618390418,412721.41680000006,3875851.9511623303,22244852.848268304,2.0103713407323758,1.4388496942994904,42.42108690535476
0.6,0.058,0.5,130196082.98201083,4503.0759316692,8685.215000000002,1558.3059218900253,2177.27645762642,73.84944125667383,15292783.053922223,2853148.910305605,412721.41680000006,3905882.489460325,22464535.870488152,1.8202018338854669,1.302742831230064,38.4082973210373
0.6,0.064,0.5,131197100.92527731,4616.8279706767535,8685.215000000002,1719.5099827752003,2402.5119532429458,81.48903862805388,15410362.24592889,2925222.202220791,412721.41680000006,3935913.027758319,22684218.892708,1.6656891095723532,1.1921560049861557,35.14790578377938
0.6,0.07,0.5,132198118.86854379,4730.580009684309,8685.215000000002,1880.7140436603756,2627.7474488594726,89.12863599943395,15527941.437935555,2997295.494135978,412721.41680000006,3965943.5660563135,22903901.914927848,1.5376642808557732,1.1005269203840597,32.446438510051365
